categoria,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion
Orígenes,"¿Cuáles son las dos raíces principales del deporte argentino?","Fútbol y rugby","Pato y polo","Juegos indígenas y deportes introducidos por los ingleses","Atletismo y boxeo","Juegos indígenas y deportes introducidos por los ingleses","El deporte argentino se vincula con prácticas originarias como el Palin y el Pato, y con deportes introducidos por los ingleses."
Orígenes,"¿Qué práctica indígena es considerada antecedente de deportes similares al hockey?","Pato","Palin o Chueca","Cricket","Polo","Palin o Chueca","La chueca o palin era una práctica de los pueblos originarios, similar en dinámica al hockey."
Pato,"¿Cuál es el deporte nacional argentino?","Fútbol","Polo","Pato","Turf","Pato","El pato es reconocido como deporte nacional argentino y tiene raíces en las prácticas ecuestres criollas."
Influencia británica,"¿Qué deporte fue introducido por los ingleses pero no logró popularizarse masivamente en Argentina?","Fútbol","Rugby","Cricket","Polo","Cricket","El cricket quedó asociado principalmente a clubes británicos y no tuvo la misma apropiación popular que el fútbol."
Influencia británica,"¿Quiénes introdujeron el cricket en el Río de la Plata?","Franceses","Españoles","Ingleses","Italianos","Ingleses","La influencia inglesa fue clave en la llegada de deportes modernos como el cricket."
Identidad,"Según Archetti, el deporte en Argentina ayudó a construir...","Solo entretenimiento","Identidades sociales y nacionales","Únicamente campeones olímpicos","Una actividad sin relación social","Identidades sociales y nacionales","El deporte funcionó como espacio de participación, identidad nacional, clase y género."
Juegos Olímpicos,"¿Qué institución se vincula con la internacionalización del deporte argentino?","AFA","Comité Olímpico Argentino","FIFA","Confederación Sudamericana","Comité Olímpico Argentino","El desarrollo institucional permitió que el deporte argentino se proyectara internacionalmente."
Leyendas,"¿Quién fue campeón mundial de Fórmula 1 y figura histórica del deporte argentino?","Oscar Gálvez","Froilán González","Juan Manuel Fangio","Carlos Monzón","Juan Manuel Fangio","Fangio es una de las máximas leyendas del automovilismo argentino y mundial."
Memoria,"¿Qué relación trabaja el material Dictadura, Deporte y Memoria?","Deporte y turismo","Mundial 1978, dictadura y derechos humanos","Historia del básquet argentino","Solo resultados deportivos","Mundial 1978, dictadura y derechos humanos","El material analiza cómo el Mundial 1978 se vincula con la dictadura y las políticas de memoria."
Mito o realidad,"El cricket fue uno de los deportes más populares de Argentina.","Mito","Realidad","Depende de la provincia","No hay información","Mito","Aunque fue introducido por los ingleses, no alcanzó la popularidad del fútbol y quedó muy limitado a comunidades británicas."